id;date;open;high;low;close;adjclose;volume
1;2021-05-03;17129;97222;26633;92644;41522;80472
2;2021-05-03;44256;18536;32831;32166;48052;70109
3;2021-05-03;85417;74933;75558;20965;22861;40371
4;2021-05-03;77668;56996;21613;80415;12037;87823
5;2021-05-03;48758;79812;40470;20700;65088;87923
6;2021-05-03;88082;2096;11661;45050;92772;54363
7;2021-05-04;91654;53915;33961;10475;33365;31423
8;2021-05-04;73289;26149;46135;58442;56197;39209
9;2021-05-03;71116;22769;7850;33693;96912;3313
10;2021-05-03;75303;96555;28987;81994;5998;91559
